folder_path,shuffles_missing,model_size
experiments/20260124_abandit_2sd_var/model_name_Llama2-13B/ordinal_helpful_low_scale,9,13B
experiments/20260124_abandit_2sd_var/model_name_Llama2-13B/sent_mislead_low_neg_scale,9,13B
experiments/20260124_abandit_2sd_var/model_name_Llama2-13B/ordinal_helpful_high_scale,5,13B
experiments/20260124_abandit_2sd_var/model_name_Llama2-13B/alphanumeric_low_neg_scale,4,13B
experiments/20260124_abandit_2sd_var/model_name_Llama2-13B/alphanumeric_high_neg_scale,10,13B
experiments/20260124_abandit_2sd_var/model_name_Llama2-13B/ordinal_mislead_low_neg_scale,7,13B
experiments/20260124_abandit_2sd_var/model_name_Llama2-13B/ordinal_helpful_low_neg_scale,10,13B
experiments/20260124_abandit_2sd_var/model_name_Llama2-13B/ordinal_helpful_high_neg_scale,10,13B
experiments/20260124_abandit_2sd_var/model_name_Llama2-13B/ordinal_mislead_high_scale,9,13B
experiments/20260124_abandit_2sd_var/model_name_Llama2-13B/sent_helpful_high_scale,8,13B
experiments/20260124_abandit_2sd_var/model_name_Llama2-13B/sent_helpful_high_neg_scale,10,13B
experiments/20260124_abandit_2sd_var/model_name_Llama2-13B/ordinal_mislead_high_neg_scale,10,13B
experiments/20260124_abandit_2sd_var/model_name_Llama2-13B/sent_mislead_high_neg_scale,9,13B
experiments/20260124_abandit_2sd_var/model_name_Llama2-13B/sent_helpful_low_scale,10,13B
experiments/20260124_abandit_2sd_var/model_name_Llama2-13B/ordinal_mislead_low_scale,10,13B
experiments/20260124_abandit_2sd_var/model_name_Llama2-13B/sent_mislead_high_scale,9,13B
experiments/20260124_abandit_2sd_var/model_name_Llama2-13B/alphanumeric_low_scale,4,13B
experiments/20260124_abandit_2sd_var/model_name_Llama2-13B/alphanumeric_high_scale,7,13B
experiments/20260124_abandit_2sd_var/model_name_Llama2-13B/sent_mislead_low_scale,10,13B
experiments/20260124_abandit_2sd_var/model_name_Llama2-13B/sent_helpful_low_neg_scale,10,13B
experiments/20260124_abandit_2sd_var/model_name_Llama3-8B/sent_mislead_low_neg_scale,3,8B
experiments/20260124_abandit_2sd_var/model_name_Llama3-8B/ordinal_helpful_high_scale,7,8B
experiments/20260124_abandit_2sd_var/model_name_Llama3-8B/ordinal_mislead_low_neg_scale,8,8B
experiments/20260124_abandit_2sd_var/model_name_Llama3-8B/ordinal_mislead_high_scale,4,8B
experiments/20260124_abandit_2sd_var/model_name_Llama3-8B/ordinal_mislead_high_neg_scale,10,8B
experiments/20260124_abandit_2sd_var/model_name_Llama3-8B/ordinal_mislead_low_scale,9,8B
experiments/20260124_abandit_2sd_var/model_name_Llama3-8B/alphanumeric_low_scale,7,8B
experiments/20260124_abandit_2sd_var/model_name_Llama3-8B/alphanumeric_high_scale,8,8B
